I wanted to go; however, I stayed	Eu queria ir; no entanto, fiquei
Something about this feels wrong	Algo sobre isso parece errado
She reached the mountain top	Ela alcançou o topo da montanha
The child laughed with joy	A criança riu de alegria
I need some fresh air	Preciso de um pouco de ar fresco
She picked fresh fruit daily	Ela colhia frutas frescas diariamente
The price is too high	O preço está muito alto
I love to teach children	Eu adoro ensinar crianças
I wake up early daily	Eu acordo cedo todos os dias
This is my favorite place	Este é o meu lugar favorito
Let's start the meeting now	Vamos começar a reunião agora
Of course, I will help	Claro, eu vou ajudar
She goes to school daily	Ela vai à escola diariamente
The mountain peak is high	O pico da montanha é alto
She traveled around the world	Ela viajou pelo mundo
She bought three red apples	Ela comprou três maçãs vermelhas
She learned basic cooking skills	Ela aprendeu habilidades básicas de cozinha
She solved the problem quickly	Ela resolveu o problema rapidamente
The main road is closed	A estrada principal está fechada
I have less time today	Eu tenho menos tempo hoje
Can you help me please	Você pode me ajudar por favor
Please come to the party	Por favor, venha para a festa
Please drink plenty of water	Por favor, beba bastante água
Can you spell your name	Você pode soletrar seu nome
I accept your kind invitation	Aceito seu gentil convite
I will visit next month	Eu visitarei no próximo mês
I have a new book	Eu tenho um livro novo
The police arrived quickly today	A polícia chegou rapidamente hoje
They sell fresh bread daily	Eles vendem pão fresco diariamente
Communication is important for success	A comunicação é importante para o sucesso
I feel sick today	Eu me sinto mal hoje
She simply loves chocolate cake	Ela simplesmente adora bolo de chocolate
She visited the local market	Ela visitou o mercado local
I live near the beach	Eu moro perto da praia
Eating vegetables keeps you healthy	Comer vegetais mantém você saudável
I love to write stories	Eu adoro escrever histórias
I know the answer well	Eu sei bem a resposta
She stood at the front	Ela ficou na frente
The park is near here	O parque está perto daqui
She looked up quickly	Ela olhou para cima rapidamente
I will definitely attend tomorrow	Eu definitivamente vou comparecer amanhã
I use my phone daily	Eu uso meu telefone diariamente
The teacher explained the lesson	O professor explicou a lição
The story’s beginning was captivating	O começo da história foi cativante
Take your time to decide	Tome o seu tempo para decidir
She won first place today	Ela ganhou o primeiro lugar hoje
Please ask for directions here	Por favor, peça informações aqui
She parked the car carefully	Ela estacionou o carro cuidadosamente
I think this will work	Acho que isso vai funcionar
Give me a hand here	Me dê uma mão aqui
The origin of species fascinates scientists	A origem das espécies fascina os cientistas
She lives far from here	Ela mora longe daqui
The journey was too long	A viagem foi longa demais
She found a small shell	Ela encontrou uma pequena concha
Please pull the door open	Por favor, puxe a porta para abrir
Take it easy on me	Vai com calma comigo
Please sit by the window	Por favor, sente-se perto da janela
The sun sets in west	O sol se põe no oeste
She speaks a new language	Ela fala uma nova língua
Her eyes sparkled with joy	Seus olhos brilhavam de alegria
I borrowed a new book	Eu peguei um livro novo emprestado
There is plenty of room here	Há bastante espaço aqui
I need to buy groceries	Eu preciso comprar mantimentos
I love to read books	Eu adoro ler livros
She left the office early	Ela saiu do escritório cedo
I have four new books	Eu tenho quatro livros novos
The sun rises in east	O sol nasce no leste
The stars shine at night	As estrelas brilham à noite
I will arrive very soon	Eu chegarei muito em breve
She worked for hours today	Ela trabalhou por horas hoje
The woman smiled warmly today	A mulher sorriu calorosamente hoje
She chose a vibrant color	Ela escolheu uma cor vibrante
I need a little help	Preciso de um pouco de ajuda
We drove south for miles	Nós dirigimos para o sul por milhas
She arrived late to class	Ela chegou atrasada à aula
She gave clear directions quickly	Ela deu direções claras rapidamente
The doctor examined the patient	O médico examinou o paciente
I have five apples left	Eu tenho cinco maçãs restantes
Please take note of this	Por favor, tome nota disto
Listen carefully to the instructions	Ouça atentamente as instruções
I need to mail this letter	Preciso enviar esta carta pelo correio
Please call this number now	Por favor, ligue para este número agora
Birds fly across the sky	Pássaros voam pelo céu
She found a thousand dollars	Ela encontrou mil dólares
I love spending time outdoors	Eu adoro passar tempo ao ar livre
I will pay the bill	Eu pagarei a conta
Flowers die without water	Flores morrem sem água
Let's watch a movie tonight	Vamos assistir a um filme hoje à noite
Trust is the key ingredient	A confiança é o ingrediente chave
I took a photo yesterday	Eu tirei uma foto ontem
Women lead with great strength	Mulheres lideram com grande força
Waves crashed against the sea	Ondas batiam contra o mar
We traveled north last summer	Nós viajamos para o norte no verão passado
I forgot my phone today	Eu esqueci meu telefone hoje
We need to advance quickly today	Precisamos avançar rapidamente hoje
I saw her yesterday afternoon	Eu a vi ontem à tarde
She has a nice smile	Ela tem um sorriso bonito
She almost missed the train	Ela quase perdeu o trem
This restaurant serves cheap meals	Este restaurante serve refeições baratas
My wife loves gardening daily	Minha esposa ama jardinagem diariamente
She injured her left foot	Ela machucou o pé esquerdo
The airplane soared above clouds	O avião voou acima das nuvens
The man smiled warmly today	O homem sorriu calorosamente hoje
I love the autumn season	Eu amo a estação do outono
She dreams of a tropical island	Ela sonha com uma ilha tropical
The earth revolves around sun	A Terra gira em torno do Sol
Please stop talking right now	Por favor, pare de falar agora mesmo
I love to catch fish	Eu adoro pescar peixe
Please wait for your turn	Por favor, espere a sua vez
We hiked through the forest	Nós caminhamos pela floresta
She is entering the building	Ela está entrando no prédio
I need a cold drink	Preciso de uma bebida gelada
I have a meeting Monday morning	Tenho uma reunião na manhã de segunda-feira
Meeting scheduled for Wednesday afternoon	Reunião agendada para quarta-feira à tarde
Please push the door open	Por favor, empurre a porta para abrir
My dear friend called today	Meu querido amigo ligou hoje
I enjoy quiet morning walks	Eu gosto de caminhadas matinais tranquilas
We will meet Thursday afternoon	Nós nos encontraremos na tarde de quinta-feira
I have a meeting Tuesday	Tenho uma reunião na terça-feira
She loves calming music today	Ela ama música calma hoje
She arrived late yesterday evening	Ela chegou tarde ontem à noite
We will meet Friday afternoon	Nos encontraremos na sexta-feira à tarde
The poor child needed help	A criança pobre precisava de ajuda
The cake is rich chocolate	O bolo é de chocolate intenso
The white snow covered everything	A neve branca cobriu tudo
She skipped a flat stone	Ela lançou uma pedra lisa ricocheteando na água
She enjoys playing outdoor sports	Ela gosta de praticar esportes ao ar livre
I need to store groceries properly	Preciso armazenar os mantimentos adequadamente
Tens of people attended yesterday	Dezenas de pessoas compareceram ontem
The coffee tastes weak today	O café está fraco hoje
The red apple looks delicious	A maçã vermelha parece deliciosa
Her husband cooks every night	O marido dela cozinha todas as noites
The weather today is bad	O tempo hoje está ruim
The coffee is still hot	O café ainda está quente
She watches television every evening	Ela assiste televisão todas as noites
Let's go to the park	Vamos ao parque
The ship sailed through storms	O navio navegou através das tempestades
We visit family every December	Visitamos a família todo dezembro
January brings fresh new beginnings	Janeiro traz novos começos frescos
Children are happily bathing outside	As crianças estão felizes tomando banho do lado de fora
She bought six red apples	Ela comprou seis maçãs vermelhas
I’m afraid to try	Tenho medo de tentar
She picked colorful wild flowers	Ela colheu flores silvestres coloridas
We are meeting in June	Nós vamos nos encontrar em junho
We climbed the mountain together	Nós escalamos a montanha juntos
I want to go home	Quero ir para casa
She opened the door slowly	Ela abriu a porta lentamente
October leaves fall gently	As folhas de outubro caem suavemente
They gathered around the fire	Eles se reuniram ao redor do fogo
Sometimes I enjoy quiet evenings	Às vezes eu gosto de noites tranquilas
She threw the ball high	Ela jogou a bola alto
The fresh air feels amazing	O ar fresco é maravilhoso
The river flows through town	O rio passa pela cidade
We are traveling in July	Estamos viajando em julho
I will call you later	Eu te ligarei mais tarde
The august guests arrived early	Os augustos convidados chegaram cedo
We walked along the beach	Nós caminhamos pela praia
You may leave early today	Você pode sair mais cedo hoje
Rain soaked the empty streets	A chuva encharcou as ruas vazias
We are meeting Saturday afternoon	Nós vamos nos encontrar no sábado à tarde
She handed me a card	Ela me entregou um cartão
Birds perched on the tree	Pássaros empoleirados na árvore
She rides her bicycle daily	Ela anda de bicicleta diariamente
The danger is very real	O perigo é muito real
She wore a black dress	Ela usava um vestido preto
February brings chilly winter days	Fevereiro traz dias frios de inverno
We will meet at noon	Nos encontraremos ao meio-dia
She has seven beautiful cats	Ela tem sete gatos bonitos
The cabin was made of wood	A cabana foi feita de madeira
She grilled the meat perfectly	Ela grelhou a carne perfeitamente
The princess wore a crown	A princesa usava uma coroa
She wore a beautiful dress	Ela usava um vestido lindo
Her son loves playing soccer	O filho dela adora jogar futebol
The movie was somewhat interesting	O filme foi um tanto interessante
I run every morning daily	Eu corro todas as manhãs diariamente
Sorry, I forgot your keys	Desculpe, esqueci suas chaves
The green leaves shimmered brightly	As folhas verdes brilhavam intensamente
Her hair shines in sunlight	O cabelo dela brilha à luz do sol
The cow grazed in meadow	A vaca pastava no prado
Turn the lights off now	Apague as luzes agora
She poured milk into cereal	Ela derramou leite no cereal
Please take out trash tonight	Por favor, leve o lixo para fora esta noite
Birds chirp at dawn daily	Os pássaros cantam ao amanhecer diariamente
We met last afternoon	Nós nos encontramos ontem à tarde
She bought eight fresh apples	Ela comprou oito maçãs frescas
The sun sets behind mountains	O sol se põe atrás das montanhas
That watch looks very expensive	Esse relógio parece muito caro
She left early today	Ela saiu cedo hoje
They walked across the bridge	Eles atravessaram a ponte caminhando
She added sugar to coffee	Ela adicionou açúcar ao café
She cooked spicy chicken curry	Ela cozinhou curry de frango picante
She showed her bright teeth	Ela mostrou seus dentes brilhantes
The yellow leaves fell gently	As folhas amarelas caíram suavemente
She sat on the chair	Ela sentou na cadeira
She is always busy working	Ela está sempre ocupada trabalhando
The lights flickered in darkness	As luzes piscavam na escuridão
She covered her mouth quickly	Ela cobriu a boca rapidamente
The wind whispered through trees	O vento sussurrou entre as árvores
Her smile brightened the room	O sorriso dela iluminou a sala
That movie was really weird	Esse filme foi realmente estranho
I need more coffee today	Preciso de mais café hoje
She cracked the egg carefully	Ela quebrou o ovo cuidadosamente
I dream of traveling someday	Eu sonho em viajar algum dia
She packed her warm clothes	Ela arrumou suas roupas quentes
She unfolded the old map	Ela desdobrou o mapa antigo
She has a sweet smile	Ela tem um sorriso doce
She began to cry softly	Ela começou a chorar suavemente
My big brother loves soccer	Meu irmão mais velho adora futebol
The kitchen floor is dirty	O chão da cozinha está sujo
Let's meet at the cafe	Vamos nos encontrar no café
She has nine cats today	Ela tem nove gatos hoje
Let's meet at the restaurant	Vamos nos encontrar no restaurante
The sun feels warm today	O sol está quente hoje
The sky is clear tonight	O céu está claro esta noite
She glanced into the mirror	Ela olhou para o espelho
There is a book there	Há um livro lá
Please send my regards soon	Por favor, envie minhas saudações em breve
The weather looks very nice	O tempo parece muito bom
Her laughter filled the room	O riso dela encheu a sala
The sky is bright blue	O céu está azul claro
She carried a heavy bag	Ela carregava uma bolsa pesada
She cooks dinner in kitchen	Ela cozinha o jantar na cozinha
She pointed with her finger	Ela apontou com o dedo
She sipped her hot tea	Ela tomou pequenos goles do seu chá quente
The driver stopped at red lights	O motorista parou no sinal vermelho
She plays tennis every weekend	Ela joga tênis todo fim de semana
I spilled coffee on pants	Eu derramei café nas calças
She opened a glass bottle	Ela abriu uma garrafa de vidro
The dog chased the ball	O cachorro perseguiu a bola
Grandma baked cookies yesterday	Vovó assou biscoitos ontem
Please pass the salt bowl	Por favor, passe a saladeira
That was a stupid mistake	Isso foi um erro estúpido
She opened the window wide	Ela abriu a janela bem aberta
That movie was really funny	Esse filme foi realmente engraçado
I am feeling very hungry	Estou com muita fome
She whispered softly into ears	Ela sussurrou suavemente nos ouvidos
She drank water from glass	Ela bebeu água do copo
Reading books is my hobby	Ler livros é meu hobby
The cat sleeps on cushions	O gato dorme em almofadas
She picked a ripe apple	Ela colheu uma maçã madura
My grandfather tells great stories	Meu avô conta ótimas histórias
Her grandchildren love visiting often	Os netos dela adoram visitar com frequência
She plays guitar beautifully tonight	Ela toca violão lindamente esta noite
She baked fresh bread today	Ela assou pão fresco hoje
She wrinkled her nose in disgust	Ela franziu o nariz de nojo
She hailed a yellow taxi	Ela chamou um táxi amarelo
I need fresh orange juice	Eu preciso de suco de laranja fresco
I love spicy Mexican food	Eu amo comida mexicana apimentada
I lost my leather wallet	Eu perdi minha carteira de couro
She plays the drums loudly	Ela toca bateria alto
She stirred coffee with spoon	Ela mexeu o café com uma colher
She wore a red hat	Ela usava um chapéu vermelho
She salted the boiling water	Ela salgou a água fervente
She wrote quickly with pen	Ela escreveu rapidamente com caneta
She filled the cups quickly	Ela encheu os copos rapidamente
She wore a red skirt	Ela usava uma saia vermelha
Excuse me, can you help	Com licença, você pode ajudar?
She wore a blue sweatshirt	Ela vestia um moletom azul
She sharpened her pencil carefully	Ela apontou o lápis cuidadosamente
She planted fresh carrots today	Ela plantou cenouras frescas hoje
She warmed up the soup	Ela esquentou a sopa
She greeted me with hello	Ela me cumprimentou com um olá
She plays the violin beautifully	Ela toca violino lindamente
I need a fork please	Eu preciso de um garfo, por favor
The test results showed improvement	Os resultados do teste mostraram melhoria
She gave a firm command	Ela deu uma ordem firme
Please select your preferred option	Por favor, selecione sua opção preferida
This area needs more lighting	Esta área precisa de mais iluminação
The amount of work increased	A quantidade de trabalho aumentou
We sell organic skincare products	Nós vendemos produtos de cuidados com a pele orgânicos
She spoke directly to me	Ela falou diretamente comigo
Believe in yourself always	Acredite em si mesmo sempre
She is able to help	Ela é capaz de ajudar
She has charm plus intelligence	Ela tem charme e inteligência
She shared important information quickly	Ela compartilhou informações importantes rapidamente
I need some fresh air	Preciso de um pouco de ar fresco
She is steering the boat	Ela está conduzindo o barco
That is indeed a challenge	Isso é realmente um desafio
She read the entire book	Ela leu o livro inteiro
Every human deserves kindness and respect	Todo ser humano merece bondade e respeito
Our team won the match	Nossa equipe venceu a partida
She has a different opinion	Ela tem uma opinião diferente
She loves exploring her country	Ela adora explorar seu país
She completed all her tasks	Ela completou todas as suas tarefas
The book is available online	O livro está disponível online
She won a million dollars	Ela ganhou um milhão de dólares
She is a club member	Ela é membro do clube
We need a new plan	Precisamos de um novo plano
The president addressed the nation	O presidente dirigiu-se à nação
Time flies when laughing	O tempo voa quando se está rindo
I had time to relax	Eu tive tempo para relaxar
They decided to break up	Eles decidiram terminar
Religion influences many cultural traditions	A religião influencia muitas tradições culturais
I need to catch the train	Preciso pegar o trem
She found the right answer	Ela encontrou a resposta certa
She studies international politics closely	Ela estuda política internacional de perto
She has a broad smile	Ela tem um sorriso largo
The location of the event	A localização do evento
She is our company representative	Ela é nossa representante da empresa
I need help now	Preciso de ajuda agora
The magazine featured her artwork	A revista destacou sua obra de arte
The cost exceeded our budget	O custo excedeu nosso orçamento
This app is a useful tool	Este aplicativo é uma ferramenta útil
She started her own business	Ela começou seu próprio negócio
Technology drives modern innovation	A tecnologia impulsiona a inovação moderna
The company is worth billions	A empresa vale bilhões
I need to update the list	Preciso atualizar a lista
She needs her medicine now	Ela precisa do remédio dela agora
They hope to win tomorrow	Eles esperam ganhar amanhã
Planting trees improves the environment	Plantar árvores melhora o meio ambiente
We need to replace the battery	Precisamos substituir a bateria
She accepted the new position	Ela aceitou a nova posição
She played a crucial role	Ela desempenhou um papel crucial
She was born last spring	Ela nasceu na primavera passada
I believe in your dreams	Eu acredito nos seus sonhos
The sound of rain soothes	O som da chuva acalma
She appeared out of nowhere	Ela apareceu do nada
I love the mountain view	Eu amo a vista da montanha
Consider all options before deciding	Considere todas as opções antes de decidir
Fruits, e.g. apples and oranges	Frutas, por exemplo maçãs e laranjas
Keep your promises always	Sempre cumpra suas promessas
Are you sure about that?	Você tem certeza disso?
She noticed the missing keys	Ela percebeu as chaves faltando
Let's go for a ride	Vamos dar uma volta
She looks happy today	Ela parece feliz hoje
She studies at university abroad	Ela estuda na universidade no exterior
She greeted her opponent warmly	Ela cumprimentou seu oponente calorosamente
Everything happens for a reason	Tudo acontece por um motivo
I sort of like it	Eu meio que gosto disso
She hid behind the door	Ela se escondeu atrás da porta
This method improves learning efficiency	Este método melhora a eficiência da aprendizagem
They spent hours sparring daily	Eles passavam horas treinando diariamente
The temperature is unusually low	A temperatura está anormalmente baixa
She tends to burn food	Ela tende a queimar a comida
Her blood ran cold suddenly	O sangue dela gelou de repente
Her hard work ensured success	O trabalho duro dela garantiu o sucesso
She smiled even though tired	Ela sorriu mesmo estando cansada
Don't lose your car keys	Não perca suas chaves do carro
She stood by my side	Ela ficou ao meu lado
The machine stopped working suddenly	A máquina parou de funcionar de repente
The cafe is located downtown	O café está localizado no centro da cidade
They reject unfair business practices	Eles rejeitam práticas comerciais injustas
Watch out for falling branches	Cuidado com os galhos caindo
She has boundless energy today	Ela tem energia ilimitada hoje
She received the official invitation	Ela recebeu o convite oficial
Would you like to join?	Você gostaria de participar?
The company is worth a trillion	A empresa vale um trilhão
I can always count on you	Eu sempre posso contar com você
Electricity powers our daily lives	A eletricidade alimenta nossas vidas diárias
The king ruled with wisdom	O rei governou com sabedoria
Her skin feels very soft	A pele dela é muito macia
I bought a new computer	Comprei um computador novo
She is very kind today	Ela está muito gentil hoje
Leaves fall gently from trees	As folhas caem suavemente das árvores
Their marriage lasted many years	O casamento deles durou muitos anos
Soldiers marched through the city	Soldados marcharam pela cidade
Experts weigh in on debate	Especialistas opinam no debate
The park is open public	O parque é público e aberto
I arrived earlier than expected	Cheguei mais cedo do que o esperado
They smiled at each other	Eles sorriram um para o outro
Music touches the soul deeply	A música toca profundamente a alma
She loves foreign languages and cultures	Ela ama línguas e culturas estrangeiras
Check the website for updates	Verifique o site para atualizações
Competing teams trained all summer	As equipes concorrentes treinaram o verão todo
The store’s location is convenient	A localização da loja é conveniente
I will visit next week	Eu visitarei na próxima semana
She failed the final exam	Ela reprovou no exame final
War changes everything forever	A guerra muda tudo para sempre
The patient was discharged today	O paciente recebeu alta hoje
The union negotiated better wages	O sindicato negociou melhores salários
You took a right turn	Você virou à direita
Let me help you out	Deixe-me ajudar você
The city lights shine bright	As luzes da cidade brilham intensamente
She wore a gold necklace	Ela usava um colar de ouro
She slipped on the floor	Ela escorregou no chão
She says it’s true	Ela diz que é verdade
She counted the remaining cookies	Ela contou os biscoitos restantes
This cake is perfect today	Este bolo está perfeito hoje
Please turn the page	Por favor, vire a página
Don't forget your umbrella today	Não esqueça seu guarda-chuva hoje
She felt satisfied with results	Ela se sentiu satisfeita com os resultados
Change the TV channel now	Mude o canal da TV agora
Christ is central to Christianity	Cristo é central para o Cristianismo
Age brings wisdom and experience	A idade traz sabedoria e experiência
She had a worried face	Ela tinha um rosto preocupado
She looked worried about tomorrow	Ela parecia preocupada com o amanhã
She whispered a silent prayer	Ela sussurrou uma oração silenciosa
Everyone came except John	Todos vieram, exceto o João
She is my best friend	Ela é minha melhor amiga
She measured the exact distance	Ela mediu a distância exata
She checked the post daily	Ela conferia o correio diariamente
She works in a factory	Ela trabalha em uma fábrica
Children gathered outside the mosque	Crianças se reuniram fora da mesquita
We played football all afternoon	Jogamos futebol a tarde toda
She planted flowers in garden	Ela plantou flores no jardim
She studies quietly in library	Ela estuda silenciosamente na biblioteca
I need to test this device	Preciso testar este dispositivo
Set your worries aside today	Deixe suas preocupações de lado hoje
She treated his deep wound	Ela tratou da ferida profunda dele
Please schedule the meeting tomorrow	Por favor, agende a reunião para amanhã
She enjoys shopping on weekends	Ela gosta de fazer compras nos fins de semana
She climbed the tall ladder	Ela subiu a escada alta
She broke the glass yesterday	Ela quebrou o copo ontem
She takes great care daily	Ela cuida muito bem diariamente
The narrow path led home	O caminho estreito levava para casa
She has tons of books	Ela tem toneladas de livros
They will depart at noon	Eles partirão ao meio-dia
I dare you to try	Eu te desafio a tentar
The guest arrived very early	O hóspede chegou muito cedo
We visited the old church	Visitamos a igreja antiga
Children played happily in village	As crianças brincavam felizes na vila
The width of the table	A largura da mesa
What a shame you left	Que pena que você foi embora
She is fasting for health	Ela está jejuando por saúde
She bought a pack of cigarettes	Ela comprou um maço de cigarros
The clothes are dry now	As roupas estão secas agora
She waited at the station	Ela esperou na estação
She wiped the phone screen	Ela limpou a tela do telefone
She collects rare vintage objects	Ela coleciona objetos vintage raros
She felt proud of herself	Ela se sentiu orgulhosa de si mesma
I borrowed the book yesterday	Eu peguei o livro emprestado ontem
She has a brilliant brain	Ela tem um cérebro brilhante
They sing beautifully every night	Eles cantam lindamente todas as noites
Please address the customer complaint	Por favor, resolva a reclamação do cliente
She rarely drinks coffee nowadays	Ela raramente bebe café atualmente
The wretched weather ruined plans	O tempo terrível arruinou os planos
Yes, sir, right away sir	Sim, senhor, imediatamente senhor
She told an amazing story	Ela contou uma história incrível
She leaves early every morning	Ela sai cedo todas as manhãs
The earthquake shook the city	O terremoto sacudiu a cidade
She lived over a century ago	Ela viveu há mais de um século atrás
She gave an honest answer	Ela deu uma resposta honesta
I love fresh garden vegetables	Eu adoro legumes frescos do jardim
I love to cook dinner	Eu adoro cozinhar o jantar
Parking is full today	O estacionamento está cheio hoje
The student studied all night	O estudante estudou a noite toda
She did a great job	Ela fez um ótimo trabalho
I cracked open a coconut	Eu quebrei um coco aberto
He found a buried bone nearby	Ele encontrou um osso enterrado por perto
Please write a clear sentence	Por favor, escreva uma frase clara
She bought a new camera	Ela comprou uma câmera nova
She struggled to control emotions	Ela teve dificuldade para controlar as emoções
She kept the secret safe	Ela manteve o segredo seguro
She felt disappointed after losing	Ela se sentiu desapontada após perder
The acid burned through metal	O ácido queimou o metal
The town lies southeast of here	A cidade fica a sudeste daqui
The bird’s sharp beak glistened	O bico afiado do pássaro brilhava
A ray of sunlight appeared	Um raio de sol apareceu
The elephant hid in trunk	O elefante se escondeu na tromba
Her mind went completely blank	A mente dela ficou completamente em branco
I really enjoy summer evenings	Eu realmente gosto das noites de verão
She feels happy today	Ela se sente feliz hoje
She flipped through the magazine	Ela folheou a revista
My neighbor baked fresh cookies	Meu vizinho assou biscoitos frescos
She folded the clean sheet	Ela dobrou o lençol limpo
My stomach feels a bit upset	Meu estômago está um pouco desconfortável
I tire easily after running	Eu me canso facilmente depois de correr
The population is rapidly growing	A população está crescendo rapidamente
They decided to cancel the meeting	Eles decidiram cancelar a reunião
We decorated the Christmas tree	Nós decoramos a árvore de Natal
She spins the wheels quickly	Ela gira as rodas rapidamente
The island felt like paradise	A ilha parecia um paraíso
She admired the vibrant painting	Ela admirava a pintura vibrante
The artist painted a masterpiece	O artista pintou uma obra-prima
She wore a thin scarf	Ela usava um lenço fino
He held the heavy chest	Ele segurou o baú pesado
I will text you later	Eu vou te mandar uma mensagem mais tarde
Children built castles with sand	Crianças construíram castelos com areia
That guy is a bastard	Aquele cara é um idiota
The truck delivered fresh produce	O caminhão entregou produtos frescos
We climbed the steep hill	Nós subimos a colina íngreme
Children dig holes in sand	Crianças cavam buracos na areia
She enjoys swimming every morning	Ela gosta de nadar todas as manhãs
She flexed her muscles confidently	Ela flexionou os músculos com confiança
The assistant organized the files	O assistente organizou os arquivos
She kept coins in pouch	Ela guardava moedas na bolsa
My girlfriend loves Italian food	Minha namorada adora comida italiana
The actor received great praise	O ator recebeu grandes elogios
Please throw me the ball	Por favor, jogue a bola para mim
Her lips curved into a smile	Seus lábios se curvaram em um sorriso
The bright stars lit night	As estrelas brilhantes iluminaram a noite
The ground is still wet	O chão ainda está molhado
The forest was thick today	A floresta estava densa hoje
The bird shed its feathers	O pássaro perdeu suas penas
She bought a new rubber ball	Ela comprou uma bola de borracha nova
She visited the health clinic	Ela visitou a clínica de saúde
The handyman fixed my sink	O faz-tudo consertou minha pia
Please board the train now	Por favor, embarque no trem agora
She reads the newspaper daily	Ela lê o jornal diariamente
She rode the horse swiftly	Ela cavalgou o cavalo rapidamente
I hate waking up early	Odeio acordar cedo
I love fried chicken wings	Eu adoro coxinhas de frango fritas
She gave him a kiss	Ela deu um beijo nele
We enjoyed the outdoor concert	Nós gostamos do concerto ao ar livre
She chopped the onion carefully	Ela picou a cebola cuidadosamente
I will be back soon	Eu volto logo
The cat climbed onto roof	O gato subiu no telhado
She tied the heavy rope	Ela amarrou a corda pesada
She waved the red flag	Ela acenou com a bandeira vermelha
The queen ruled with grace	A rainha governou com graça
The flame flickered in darkness	A chama tremeluziu na escuridão
She bit her tongue hard	Ela mordeu a língua com força
She was shocked by news	Ela ficou chocada com a notícia
She has catholic tastes in music	Ela tem gostos católicos em música
The grass feels soft today	A grama está macia hoje
Press the red button quickly	Pressione o botão vermelho rapidamente
Smoke rose from the chimney	Fumaça subia da chaminé
She closed the garden gate	Ela fechou o portão do jardim
She wore a silver necklace	Ela usava um colar de prata
I parked the car in the garage	Estacionei o carro na garagem
She sailed the small boat	Ela navegou o pequeno barco
The elephant trumpeted loudly nearby	O elefante barritou alto perto daqui
The prince rode his horse	O príncipe montou seu cavalo
Science explains natural phenomena well	A ciência explica bem os fenômenos naturais
She injured her left lung	Ela machucou o pulmão esquerdo
She spilled the beans again	Ela contou tudo de novo
She drizzled honey on pancakes	Ela regou mel nas panquecas
She wore a silver neck chain	Ela usava uma corrente de pescoço prateada
What the hell is that?	Que diabos é isso?
She has a high fever	Ela está com febre alta
The tower overlooks the city	A torre tem vista para a cidade
I love spicy chili soup	Eu adoro sopa de chili picante
The boat anchored in bay	O barco ancorou na baía
The rat scurried across floor	O rato correu pelo chão
She filled the tub quickly	Ela encheu a banheira rapidamente
She uses a mobile phone	Ela usa um telefone celular
The lake was completely frozen	O lago estava completamente congelado
We met yesterday at the mall	Nós nos encontramos ontem no shopping
The storm caused heavy flooding	A tempestade causou inundações graves
Let's meet at the cafe	Vamos nos encontrar no café
She injured her knee playing	Ela machucou o joelho brincando
A snake slithered through grass	Uma cobra rastejou pela grama
We went to theater yesterday	Fomos ao teatro ontem
They jump over the fence	Eles pulam sobre a cerca
He broke his left arm	Ele quebrou o braço esquerdo
